,Aging,Cash_Flow_Prediction_week_1,Cash_Flow_Prediction_week_2,Cash_Flow_Prediction_week_3,Cash_Flow_Prediction_week_4,Demand_Forecast,Demand_Forecast_week_1,Demand_Forecast_week_2,Demand_Forecast_week_3,Demand_Forecast_week_4,Material,Order_Quantity,Plant,Stock,Stock_Value,Material Name
928,No Risk,312.0,234.0,156.0,273.0,46.0,14.0,11.0,9.0,12.0,10-0003035,10.0,Hyderabad East,38.0,21925.0,GARDENAL SYRUP 20MG 100 ML
929,No Risk,578.0,560.0,543.0,525.0,147.0,36.0,36.0,37.0,38.0,10-0003036,88.0,Hyderabad East,70.0,40528.0,IBUGESIC SYRUP 100MG 100 ML
931,No Risk,99.0,99.0,99.0,99.0,8.0,2.0,2.0,2.0,2.0,10-0003051,1.0,Hyderabad East,9.0,11591.0,SMUTH CREAM 30 GM
934,<3 Months,30702.0,35087.0,30702.0,39473.0,39.0,9.0,10.0,9.0,11.0,10-0003067,22.0,Hyderabad East,19.0,96491.0,GONAL - F 300 IU INJ
935,No Risk,1977.0,1913.0,1785.0,1722.0,131.0,34.0,34.0,32.0,31.0,10-0003069,44.0,Hyderabad East,95.0,234206.0,MAXTRA ORAL DROPS15ML
936,No Risk,13737.0,14965.0,14630.0,13625.0,558.0,135.0,146.0,143.0,134.0,10-0003072,441.0,Hyderabad East,144.0,1226888.0,AUGMENTIN DDS SYRUP 457MG 30ML
941,No Risk,624.0,936.0,1248.0,1560.0,530.0,100.0,120.0,140.0,170.0,10-0003080,147.0,Hyderabad East,460.0,161319.0,INSPIRAL-SR TAB 10MG10S
942,No Risk,1498.0,999.0,499.0,1498.0,12.0,4.0,3.0,1.0,4.0,10-0003081,2.0,Hyderabad East,12.0,109414.0,PACROMA  CREAM 1% 10 GM
944,<3 Months,3367.0,2886.0,2627.0,2867.0,717.0,204.0,177.0,161.0,175.0,10-0003097,506.0,Hyderabad East,235.0,35804.0,D WATER 500 ML  BOTTLE
946,<3 Months,788.0,683.0,631.0,525.0,70.0,20.0,18.0,17.0,15.0,10-0003110,46.0,Hyderabad East,28.0,37269.0,ITROP PLUS DROPS 5 ML
959,<3 Months,3253.0,3036.0,2819.0,2603.0,1450.0,400.0,375.0,350.0,325.0,10-0003160,1117.0,Hyderabad East,404.0,91563.0,MEZOLAM INJ AMP 5 MG 1 ML
961,<3 Months,6844.0,8752.0,9871.0,10726.0,618.0,118.0,149.0,169.0,182.0,10-0003168,552.0,Hyderabad East,92.0,1074352.0,ICUBAC INJ 500 MG
963,<3 Months,10685.0,17408.0,25211.0,23411.0,716.0,106.0,165.0,230.0,215.0,10-0003170,694.0,Hyderabad East,73.0,1783037.0,ICUBAC INJ 1 GM
964,No Risk,1203.0,1604.0,2005.0,2405.0,25.0,4.0,6.0,7.0,8.0,10-0003176,20.0,Hyderabad East,8.0,275000.0,SMOFLIPID INFUSION  VIAL 20 % 100 ML
967,No Risk,192.0,192.0,192.0,192.0,8.0,2.0,2.0,2.0,2.0,10-0003195,7.0,Hyderabad East,2.0,12930.0,FEMITE SOLUTION  9ML
968,No Risk,702.0,602.0,803.0,702.0,36.0,9.0,8.0,10.0,9.0,10-0003205,4.0,Hyderabad East,34.0,64179.0,SUCRAL ANO CREAM 20 GM
973,No Risk,233.0,216.0,207.0,199.0,118.0,31.0,30.0,29.0,28.0,10-0003217,25.0,Hyderabad East,107.0,13082.0,REDOTIL SACHETS  10MG 1 GM
976,<3 Months,1188.0,1783.0,594.0,1188.0,8.0,2.0,3.0,1.0,2.0,10-0003221,7.0,Hyderabad East,2.0,89574.0,NAN PRO-3 POWDER 500 GM
978,<3 Months,381.0,381.0,190.0,190.0,10.0,3.0,3.0,2.0,2.0,10-0003233,8.0,Hyderabad East,3.0,26285.0,CERELAC RICE POWDER 300 GM
993,No Risk,100.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,1.0,10-0003462,7.0,Hyderabad East,4.0,48267.0,LIZOMAC-DS SYRUP 100MG 30ML
994,No Risk,2369.0,2200.0,2030.0,1946.0,248.0,64.0,64.0,61.0,59.0,10-0003468,186.0,Hyderabad East,84.0,259154.0,OMNACORTIL FORTE SYRUP 60 ML
996,No Risk,102.0,102.0,102.0,204.0,9.0,2.0,2.0,2.0,3.0,10-0003482,2.0,Hyderabad East,8.0,19925.0,SUCRAFIL SUGAR FREE SYRUP 500MG 200ML
997,No Risk,134.0,188.0,134.0,134.0,24.0,5.0,8.0,6.0,5.0,10-0003484,11.0,Hyderabad East,15.0,10917.0,P-250 SYRUP 250MG 60ML
1000,No Risk,1077.0,1221.0,1365.0,1508.0,980.0,200.0,230.0,260.0,290.0,10-0003498,602.0,Hyderabad East,476.0,69333.0,DOXT-SL CAP 100MG10S
1001,No Risk,1631.0,1495.0,3398.0,2039.0,810.0,160.0,150.0,300.0,200.0,10-0003500,99.0,Hyderabad East,799.0,172793.0,LACOSAM TAB 100MG10S
1002,No Risk,39.0,43.0,46.0,48.0,1060.0,235.0,260.0,275.0,290.0,10-0003501,588.0,Hyderabad East,588.0,3291.0,DEXONA TAB 0.5MG30S
1003,No Risk,930.0,620.0,930.0,1240.0,24.0,6.0,5.0,6.0,7.0,10-0003503,3.0,Hyderabad East,23.0,30664.0,CCM TAB40S
1009,No Risk,240.0,270.0,195.0,180.0,76.0,21.0,22.0,17.0,16.0,10-0003514,13.0,Hyderabad East,68.0,18960.0,HALLENS GLYCERIN SUPPOSITORIES 1GM5S
1011,No Risk,265.0,353.0,309.0,397.0,42.0,9.0,11.0,10.0,12.0,10-0003519,37.0,Hyderabad East,12.0,12375.0,CABGOLIN TAB 0.25MG4S
1012,No Risk,93.0,74.0,130.0,124.0,83.0,18.0,16.0,24.0,25.0,10-0003520,33.0,Hyderabad East,64.0,6596.0,NAPROSYN TAB 500MG15S
1017,No Risk,228.0,205.0,251.0,274.0,92.0,22.0,20.0,24.0,26.0,10-0003533,74.0,Hyderabad East,32.0,21962.0,PECEF TAB 200MG10S
1022,No Risk,90.0,113.0,120.0,105.0,77.0,17.0,20.0,21.0,19.0,10-0003550,6.0,Hyderabad East,80.0,6187.0,APRESOL TAB 25MG15S
1024,No Risk,622.0,794.0,1036.0,863.0,580.0,105.0,145.0,180.0,150.0,10-0003552,375.0,Hyderabad East,240.0,96420.0,LACOSAM TAB 50MG10S
1027,No Risk,170.0,213.0,256.0,298.0,150.0,30.0,35.0,40.0,45.0,10-0003561,98.0,Hyderabad East,130.0,43345.0,DISTINON TAB 60MG10S
1028,No Risk,91.0,84.0,114.0,106.0,720.0,170.0,160.0,200.0,190.0,10-0003563,481.0,Hyderabad East,269.0,9939.0,OMNACORTIL DT TAB 2.5MG10S
1029,No Risk,3613.0,3568.0,1071.0,758.0,1058.0,420.0,412.0,130.0,96.0,10-0003566,1177.0,Hyderabad East,58.0,99451.0,LEVIPIL TAB 500MG 15S
1037,<3 Months,0.0,9.0,9.0,18.0,10.0,1.0,2.0,3.0,4.0,10-0003689,121.0,Hyderabad East,10.0,35810.0,TRAMAZAC INJ 50 MG 1 ML
1040,<3 Months,4750.0,13300.0,10450.0,7600.0,44.0,6.0,16.0,12.0,10.0,10-0003815,21.0,Hyderabad East,27.0,1382596.0,ENCICARB INJ VIAL 500 MG 10 ML
1043,No Risk,72.0,72.0,72.0,72.0,7.0,1.0,2.0,2.0,2.0,10-0003864,3.0,Hyderabad East,5.0,5389.0,METROGYL 30GM GEL
1044,No Risk,0.0,5425.0,5425.0,5425.0,7.0,1.0,2.0,2.0,2.0,10-0003870,4.0,Hyderabad East,4.0,615993.0,LUPRODEX DEPOT INJ 11.25 MG
1049,No Risk,87.0,434.0,87.0,87.0,96.0,12.0,60.0,12.0,12.0,10-0003906,1.0,Hyderabad East,120.0,12606.0,R-CINEX CAPS 450 MG 10 S
1050,<3 Months,962.0,1837.0,3150.0,4812.0,295.0,32.0,54.0,84.0,125.0,10-0003913,44.0,Hyderabad East,303.0,162902.0,PENTASA  SACHETS  1GM
1061,No Risk,802.0,1604.0,401.0,2940.0,870.0,120.0,240.0,90.0,420.0,10-0003985,834.0,Hyderabad East,150.0,102948.0,VALANCE TABS OD 250MG15S
1062,No Risk,833.0,417.0,417.0,417.0,10.0,3.0,3.0,2.0,2.0,10-0003991,5.0,Hyderabad East,7.0,54581.0,I-KNOW OVULATION STRIPS
1065,No Risk,434.0,410.0,386.0,362.0,410.0,110.0,105.0,100.0,95.0,10-0004009,122.0,Hyderabad East,309.0,40428.0,OMNACORTIL TAB 30MG10S
1066,<3 Months,593.0,741.0,889.0,815.0,530.0,110.0,130.0,150.0,140.0,10-0004025,295.0,Hyderabad East,315.0,83043.0,SHELCAL-HD TAB15S
1074,<3 Months,475.0,505.0,534.0,564.0,84.0,19.0,20.0,22.0,23.0,10-0004094,53.0,Hyderabad East,33.0,35998.0,BIOTREXATE INJ AMP 15 MG 3 ML
1079,No Risk,282.0,423.0,565.0,706.0,270.0,45.0,60.0,75.0,90.0,10-0004134,82.0,Hyderabad East,240.0,57400.0,MCBM 69 TAB15S
1082,No Risk,944.0,629.0,944.0,944.0,19.0,5.0,4.0,5.0,5.0,10-0004178,15.0,Hyderabad East,7.0,58060.0,DIANE TAB 21S
1084,No Risk,743.0,661.0,578.0,495.0,38.0,11.0,10.0,9.0,8.0,10-0004181,19.0,Hyderabad East,21.0,48164.0,ZINCONIA SYRUP 20MG 100ML
1085,No Risk,569.0,632.0,537.0,474.0,450.0,115.0,125.0,110.0,100.0,10-0004183,314.0,Hyderabad East,184.0,61483.0,BEVON CAPS 15 S
1086,No Risk,0.0,349.0,558.0,697.0,470.0,20.0,100.0,150.0,200.0,10-0004184,273.0,Hyderabad East,240.0,31103.0,LOBAZAM TAB 10MG10S
1092,<3 Months,49229.0,45947.0,44306.0,42665.0,1230.0,330.0,310.0,300.0,290.0,10-0004240,835.0,Hyderabad East,422.0,4095492.0,MUOUT+ JAR  POWDER 119 GM
1102,<3 Months,2424.0,2155.0,1885.0,2424.0,45.0,12.0,11.0,10.0,12.0,10-0004416,13.0,Hyderabad East,35.0,83162.0,DECAPEPTYL 0.1 MG 1 ML INJ
1107,No Risk,2125.0,2598.0,2361.0,2361.0,54.0,12.0,15.0,14.0,13.0,10-0004452,42.0,Hyderabad East,15.0,175170.0,COBATUS SYRUP 200 ML
1108,No Risk,127.0,191.0,286.0,286.0,265.0,40.0,60.0,75.0,90.0,10-0004456,6.0,Hyderabad East,285.0,22002.0,A TO Z TAB 15 S
1114,No Risk,2960.0,2786.0,2612.0,2612.0,75.0,20.0,19.0,18.0,18.0,10-0004526,44.0,Hyderabad East,35.0,263086.0,POTRATE-MB6 SYRUP 200 ML
1120,<3 Months,0.0,11385.0,22770.0,11385.0,8.0,1.0,2.0,3.0,2.0,10-0004570,2.0,Hyderabad East,7.0,1051930.0,TISSEEL LYO  INJ 2 ML
1121,No Risk,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0004581,3.0,Hyderabad East,4.0,6304.0,ASCORIL FLU KIDZ SYRUP 60ML
1129,No Risk,359.0,478.0,359.0,478.0,22.0,5.0,6.0,5.0,6.0,10-0004645,19.0,Hyderabad East,5.0,44247.0,ATOZ-NS MIX FRUIT SYRUP 200ML
1139,No Risk,239.0,359.0,239.0,359.0,14.0,3.0,4.0,3.0,4.0,10-0004732,4.0,Hyderabad East,11.0,16134.0,CANDID-CL VAGINAL SUPPOSITORIES  3 S
1141,<3 Months,5791.0,4343.0,4343.0,4343.0,21.0,6.0,5.0,5.0,5.0,10-0004742,6.0,Hyderabad East,16.0,23290.0,LMA 2.0(Auragain)
1143,<3 Months,10145.0,8696.0,10145.0,11594.0,36.0,9.0,8.0,9.0,10.0,10-0004744,15.0,Hyderabad East,23.0,33160.0,LMA 3.0 (Auragain)
1145,<3 Months,0.0,0.0,0.0,0.0,20.0,5.0,5.0,5.0,5.0,10-0004750,16.0,Hyderabad East,4.0,162739.0,POVIDONE-IODINE SOLUTION 5% 100 ML
1147,No Risk,1205.0,2410.0,2410.0,1205.0,6.0,1.0,2.0,2.0,1.0,10-0004770,4.0,Hyderabad East,3.0,98625.0,MINIRIN TAB 0.2MG30BT
1148,No Risk,304.0,319.0,335.0,350.0,94.0,22.0,23.0,24.0,25.0,10-0004773,48.0,Hyderabad East,65.0,22581.0,RIFAGUT TAB 200MG10S
1150,No Risk,462.0,407.0,435.0,380.0,78.0,21.0,19.0,20.0,18.0,10-0004797,53.0,Hyderabad East,29.0,40449.0,BANDYPLUS SYRUP10ML
1152,No Risk,156.0,779.0,1090.0,934.0,34.0,2.0,9.0,12.0,11.0,10-0004806,32.0,Hyderabad East,15.0,90823.0,VOLINI SPRAY
1155,<3 Months,0.0,0.0,0.0,0.0,277.0,77.0,71.0,66.0,63.0,10-0004824,167.0,Hyderabad East,146.0,0.0,Lundas
1157,No Risk,3307.0,3007.0,2806.0,2506.0,690.0,190.0,175.0,170.0,155.0,10-0004838,181.0,Hyderabad East,535.0,371468.0,LETROZ TAB 2.5MG5S
1158,<3 Months,4127.0,3133.0,2636.0,2025.0,338.0,115.0,89.0,75.0,59.0,10-0004839,256.0,Hyderabad East,123.0,194466.0,ANEKET INJ  VIAL 50 MG 5 ML
1159,No Risk,429.0,286.0,572.0,429.0,16.0,4.0,3.0,5.0,4.0,10-0004844,10.0,Hyderabad East,7.0,41273.0,C-ARM COVER
1164,<3 Months,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0004865,50.0,Hyderabad East,1.0,81824.0,CEFANTRAL 1GM INJ
1166,No Risk,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,10-0004868,21.0,Hyderabad East,4.0,31294.0,SALBAIR RESPULES  1.25 MG 2.5 ML
1174,No Risk,2692.0,2423.0,2154.0,1885.0,50.0,14.0,13.0,12.0,11.0,10-0004941,32.0,Hyderabad East,23.0,198639.0,VSL - 3 CAPS 10 S
1175,No Risk,276.0,553.0,553.0,829.0,18.0,3.0,4.0,5.0,6.0,10-0004949,9.0,Hyderabad East,14.0,104098.0,ZENOXA SYRUP 300MG 100ML
1177,No Risk,1845.0,2306.0,2921.0,2153.0,82.0,17.0,20.0,25.0,20.0,10-0004956,35.0,Hyderabad East,57.0,81918.0,LACOSET INJ 10 MG 20 ML
1187,<3 Months,986.0,1972.0,2465.0,2958.0,25.0,3.0,6.0,7.0,9.0,10-0005035,13.0,Hyderabad East,15.0,101368.0,BLOOD TUBING ADULT(F00000384)WITHOUT BVM
1189,<3 Months,8055.0,8183.0,8311.0,8439.0,274.0,67.0,68.0,69.0,70.0,10-0005049,180.0,Hyderabad East,98.0,711564.0,DUPHALAC SYRUP 3.33GM 150ML
1192,<3 Months,291.0,581.0,581.0,872.0,14.0,2.0,3.0,4.0,5.0,10-0005072,9.0,Hyderabad East,6.0,10908.0,CORIOSURGE XP 5000 IU 1 ML INJ
1195,No Risk,265.0,795.0,795.0,265.0,13.0,2.0,5.0,4.0,2.0,10-0005091,7.0,Hyderabad East,8.0,50058.0,TRULOOP 2215
1200,No Risk,485.0,727.0,545.0,364.0,340.0,80.0,100.0,90.0,70.0,10-0005102,130.0,Hyderabad East,250.0,60762.0,DONEP-M TABS 5MG+5MG10S
1202,No Risk,1464.0,1591.0,1655.0,1718.0,115.0,26.0,28.0,30.0,31.0,10-0005113,65.0,Hyderabad East,56.0,92554.0,CYCLOPAM SYRUP 60 ML
1205,No Risk,3856.0,4152.0,4449.0,4746.0,70.0,16.0,17.0,18.0,19.0,10-0005125,27.0,Hyderabad East,48.0,409105.0,UDCAMENT SYRUP 125 MG 100 ML
1207,<3 Months,79.0,87.0,94.0,87.0,52.0,12.0,13.0,14.0,13.0,10-0005130,38.0,Hyderabad East,19.0,3263.0,OPTINEURON INJ 3 ML
1208,No Risk,624.0,312.0,936.0,312.0,17.0,4.0,3.0,6.0,4.0,10-0005131,4.0,Hyderabad East,15.0,134110.0,KEPPRA SYRUP 100 MG 1ML
1211,No Risk,194.0,166.0,139.0,111.0,380.0,110.0,100.0,90.0,80.0,10-0005138,165.0,Hyderabad East,270.0,7673.0,FLUTOP CAPS 10 MG 10 S
1217,No Risk,287.0,144.0,287.0,431.0,13.0,3.0,2.0,3.0,5.0,10-0005197,5.0,Hyderabad East,9.0,22146.0,GAVISCON SYRUP 150 ML
1221,No Risk,896.0,1008.0,1120.0,1008.0,44.0,10.0,11.0,12.0,11.0,10-0005214,10.0,Hyderabad East,36.0,117004.0,NODOSIS SYRUP 300 ML
1224,No Risk,700.0,700.0,700.0,700.0,19.0,4.0,5.0,5.0,5.0,10-0005226,4.0,Hyderabad East,17.0,54348.0,TUMMY SOFT DRY SYRUP 50ML
1227,No Risk,577.0,358.0,199.0,119.0,85.0,35.0,24.0,15.0,11.0,10-0005240,38.0,Hyderabad East,59.0,7570.0,NEOPRATE INJ VIAL 100 MG 5 ML
1228,No Risk,5565.0,4414.0,4894.0,4318.0,229.0,65.0,53.0,58.0,53.0,10-0005280,187.0,Hyderabad East,58.0,376327.0,EMTY SYRUP 10 GM 100ML
1230,No Risk,858.0,1104.0,981.0,858.0,40.0,9.0,12.0,10.0,9.0,10-0005288,8.0,Hyderabad East,34.0,116139.0,SOLIWAX DROPS 10 ML
1232,No Risk,1195.0,977.0,869.0,1303.0,669.0,182.0,150.0,135.0,202.0,10-0005327,349.0,Hyderabad East,390.0,57041.0,MHR TAB15S
1236,No Risk,530.0,1362.0,832.0,756.0,520.0,85.0,195.0,125.0,115.0,10-0005363,493.0,Hyderabad East,90.0,20627.0,NUROKIND-PLUS CAPS10S
1237,No Risk,1302.0,1157.0,1736.0,1591.0,52.0,12.0,11.0,15.0,14.0,10-0005364,23.0,Hyderabad East,32.0,196975.0,NOCTURA SYRUP 3MG 100ML
1239,No Risk,285.0,190.0,190.0,95.0,12.0,4.0,3.0,3.0,2.0,10-0005379,9.0,Hyderabad East,5.0,12763.0,DERMADEW LOTION BABY 80ML
1240,No Risk,3030.0,3535.0,4040.0,3787.0,740.0,150.0,180.0,210.0,200.0,10-0005390,800.0,Hyderabad East,16.0,289520.0,NEURO-D3 CAPS 60 K 8 S
1244,No Risk,8980.0,8980.0,17960.0,8980.0,9.0,2.0,2.0,3.0,2.0,10-0005414,4.0,Hyderabad East,7.0,1106958.0,CUROSURF INJ  VIAL 120 MG 1.5 ML
1246,<3 Months,592.0,666.0,740.0,666.0,49.0,11.0,12.0,13.0,13.0,10-0005418,15.0,Hyderabad East,38.0,37628.0,NEX INJ AMP 400 MCG 1 ML
1247,No Risk,202.0,34.0,51.0,17.0,130.0,70.0,20.0,25.0,15.0,10-0005419,78.0,Hyderabad East,99.0,5605.0,CARDIVAS TAB 3.125MG10S
1250,No Risk,530.0,589.0,510.0,451.0,138.0,35.0,38.0,34.0,31.0,10-0005440,80.0,Hyderabad East,81.0,93726.0,ALLEGRA-M TAB10S
1255,No Risk,4757.0,2378.0,7135.0,9513.0,1200.0,240.0,120.0,360.0,480.0,10-0005470,899.0,Hyderabad East,375.0,664257.0,ULTRA - Q CAPS 300 MG 15 S
1270,No Risk,2376.0,2534.0,2218.0,1901.0,68.0,17.0,19.0,17.0,15.0,10-0005595,34.0,Hyderabad East,38.0,160835.0,LIQUID CLINSER 300ML
1271,No Risk,90.0,90.0,90.0,180.0,9.0,2.0,2.0,2.0,3.0,10-0005601,8.0,Hyderabad East,3.0,8497.0,NOSE CLEANER
1274,No Risk,2609.0,2832.0,3056.0,3279.0,178.0,40.0,43.0,46.0,49.0,10-0005604,137.0,Hyderabad East,51.0,295411.0,BABY GOWN (LARGE)
1275,<3 Months,3517.0,3687.0,3857.0,3971.0,295.0,68.0,72.0,77.0,78.0,10-0005605,240.0,Hyderabad East,61.0,343167.0,BABY GOWN (MEDIUM)
1276,<3 Months,782.0,713.0,759.0,690.0,146.0,38.0,35.0,38.0,35.0,10-0005606,94.0,Hyderabad East,61.0,63450.0,BABY GOWN (SMALL)
1277,<3 Months,17290.0,16340.0,15960.0,16720.0,373.0,97.0,92.0,90.0,94.0,10-0005607,174.0,Hyderabad East,206.0,1577040.0,MOTHER GOWN
1280,<3 Months,535.0,473.0,443.0,420.0,295.0,80.0,74.0,71.0,70.0,10-0005611,179.0,Hyderabad East,126.0,26992.0,LICOLATE INJ AMP 0.2 MG 1 ML
1281,No Risk,600.0,525.0,525.0,450.0,36.0,10.0,9.0,9.0,8.0,10-0005870,18.0,Hyderabad East,20.0,47925.0,ALUMINIUMFOIL(SMALL)
1287,No Risk,290.0,258.0,290.0,274.0,84.0,21.0,20.0,22.0,21.0,10-0005894,39.0,Hyderabad East,54.0,29345.0,COLGATE TOOTH PASTE 50 GM
1289,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0005896,4.0,Hyderabad East,0.0,13254.0,DETTOL LIQUID 100 ML
1290,No Risk,401.0,434.0,468.0,501.0,62.0,14.0,15.0,16.0,17.0,10-0005898,37.0,Hyderabad East,30.0,42093.0,DETTOL SOAP 75 GM
1293,No Risk,16.0,23.0,31.0,39.0,23.0,4.0,5.0,6.0,8.0,10-0005903,17.0,Hyderabad East,8.0,3440.0,ENO SACHETS 5GM
1294,<3 Months,6745.0,6918.0,7090.0,7263.0,536.0,129.0,132.0,136.0,139.0,10-0005906,435.0,Hyderabad East,123.0,486556.0,FEEDING BOTTLE W S  125 ML
1299,No Risk,666.0,814.0,814.0,740.0,46.0,10.0,12.0,13.0,11.0,10-0005913,19.0,Hyderabad East,29.0,74740.0,KLIM FILM (SMALL)
1301,<3 Months,3349.0,3914.0,3591.0,4156.0,392.0,88.0,102.0,94.0,108.0,10-0005915,164.0,Hyderabad East,248.0,1077.0,KOOCHEES EXT LARGE 5 S
1302,<3 Months,1448.0,1411.0,1374.0,1337.0,158.0,41.0,40.0,39.0,38.0,10-0005916,62.0,Hyderabad East,104.0,5509.0,KOOCHEES LARGE 5 s
1303,<3 Months,4488.0,3828.0,3168.0,2684.0,351.0,110.0,96.0,78.0,67.0,10-0005917,164.0,Hyderabad East,214.0,55.0,KOOCHEES MEDIUM 5 S
1304,<3 Months,7088.0,6790.0,6492.0,6194.0,964.0,256.0,246.0,236.0,226.0,10-0005918,628.0,Hyderabad East,374.0,485.0,KOOCHEES- SMALL 5 S
1307,<3 Months,269.0,289.0,309.0,296.0,194.0,45.0,48.0,52.0,49.0,10-0005921,144.0,Hyderabad East,64.0,39.0,KOOCHEES- 1`S- SMALL
1308,<3 Months,398.0,389.0,379.0,370.0,184.0,46.0,46.0,46.0,46.0,10-0005922,130.0,Hyderabad East,62.0,531.0,KOOCHEES- 1`S-X LARGE
1312,No Risk,270.0,338.0,379.0,433.0,143.0,28.0,35.0,38.0,42.0,10-0005930,57.0,Hyderabad East,94.0,15962.0,ORAL B TOOTH BRUSH
1314,No Risk,276.0,506.0,414.0,598.0,51.0,9.0,14.0,12.0,16.0,10-0005940,16.0,Hyderabad East,43.0,16916.0,SAVLON 100 ML
1320,No Risk,2854.0,3139.0,2854.0,2854.0,52.0,12.0,13.0,14.0,13.0,10-0005947,21.0,Hyderabad East,33.0,191348.0,NATURAL FEEL SILICON NIPPLE SHIELD
1321,<3 Months,519.0,551.0,582.0,614.0,164.0,37.0,40.0,42.0,45.0,10-0005948,64.0,Hyderabad East,105.0,49216.0,SOOTER (AUTO FLOW)
1323,<3 Months,375.0,394.0,421.0,406.0,1096.0,265.0,270.0,283.0,278.0,10-0005955,735.0,Hyderabad East,435.0,31633.0,STREPSILS
1324,No Risk,787.0,656.0,525.0,656.0,28.0,8.0,7.0,6.0,7.0,10-0005956,17.0,Hyderabad East,14.0,58925.0,TEDIBAR SOAP 75 GM
1325,No Risk,222.0,334.0,445.0,556.0,22.0,4.0,5.0,6.0,7.0,10-0005958,15.0,Hyderabad East,9.0,36407.0,TOOTH PASTE  CHILDREN (PEGION)
1326,No Risk,16.0,16.0,16.0,16.0,12.0,3.0,3.0,3.0,3.0,10-0005960,9.0,Hyderabad East,6.0,4232.0,UGGU GINEY  (PALADA)
1330,No Risk,132.0,187.0,241.0,271.0,885.0,145.0,210.0,250.0,280.0,10-0005967,466.0,Hyderabad East,478.0,17481.0,VICKS
1332,No Risk,38.0,0.0,192.0,0.0,10.0,2.0,1.0,6.0,1.0,10-0005972,12.0,Hyderabad East,0.0,11406.0,ZANDU BALM
1333,No Risk,2209.0,2578.0,1841.0,3682.0,31.0,7.0,8.0,6.0,10.0,10-0005973,14.0,Hyderabad East,21.0,324476.0,ZEROSTAT VT SPACER
1334,No Risk,89.0,134.0,179.0,223.0,22.0,4.0,5.0,6.0,7.0,10-0005980,1.0,Hyderabad East,25.0,13330.0,VASELINE 25 GMS
1337,No Risk,434.0,868.0,651.0,434.0,17.0,3.0,6.0,4.0,4.0,10-0006001,19.0,Hyderabad East,0.0,83041.0,SPOO SHAMPOO 75 GMS
1338,No Risk,511.0,766.0,255.0,1021.0,18.0,4.0,5.0,3.0,6.0,10-0006008,10.0,Hyderabad East,10.0,41670.0,MOISTUREX SFT 100 GMS CREAM
1339,No Risk,749.0,937.0,749.0,937.0,29.0,6.0,8.0,7.0,8.0,10-0006013,1.0,Hyderabad East,30.0,96225.0,OROFER-XT SYRUP 200 ML
1341,No Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-0006029,1.0,Hyderabad East,0.0,122731.0,VALPARIN SYRUP 200MG 200ML
1342,No Risk,462.0,526.0,603.0,667.0,210.0,43.0,49.0,56.0,62.0,10-0006034,130.0,Hyderabad East,100.0,66902.0,OMNIKACIN INJ 100MG2ML
1343,<3 Months,1115.0,1201.0,1286.0,1372.0,370.0,85.0,90.0,95.0,100.0,10-0006035,286.0,Hyderabad East,121.0,95908.0,OMNIKACIN INJ 250MG 2ML
1344,No Risk,455.0,523.0,592.0,569.0,125.0,27.0,31.0,34.0,33.0,10-0006036,71.0,Hyderabad East,59.0,37983.0,OMNIKACIN INJ 500MG (2ML)
1346,No Risk,509.0,509.0,509.0,463.0,50.0,12.0,13.0,13.0,12.0,10-0006050,32.0,Hyderabad East,22.0,27810.0,AUROSOL EYE DROPS 0.7% 5 MML
1352,No Risk,160.0,128.0,160.0,128.0,26.0,7.0,6.0,7.0,6.0,10-0006076,13.0,Hyderabad East,16.0,13963.0,OFM SYRUP 60ML
1353,No Risk,14457.0,13253.0,12650.0,12048.0,96.0,26.0,25.0,23.0,22.0,10-0006079,70.0,Hyderabad East,31.0,1163594.0,NEUCITI PLUS  SYRUP 60 ML
1362,<3 Months,3141.0,2618.0,2094.0,2094.0,34.0,10.0,9.0,8.0,7.0,10-0006107,18.0,Hyderabad East,18.0,90698.0,PDS II 7-0 Z1711E
1363,No Risk,1826.0,1044.0,1826.0,1304.0,31.0,9.0,6.0,9.0,7.0,10-0006108,15.0,Hyderabad East,20.0,77020.0,TRUGLYDE SN2347-DA180CMS
1365,<3 Months,18286.0,17583.0,16879.0,18989.0,117.0,29.0,29.0,28.0,31.0,10-0006125,118.0,Hyderabad East,12.0,162538.0,NAN EXCELLA PRO 1 POWDER 400 GM 7HMO
1366,No Risk,40.0,60.0,80.0,60.0,19.0,3.0,5.0,6.0,5.0,10-0006128,14.0,Hyderabad East,7.0,6542.0,BABY CAP (MEDIUM)
1368,No Risk,9153.0,11441.0,13729.0,18305.0,30.0,5.0,7.0,8.0,10.0,10-0006134,22.0,Hyderabad East,16.0,2800671.0,NEOCATE LCP POWDER 400GM
1371,No Risk,585.0,526.0,468.0,526.0,47.0,12.0,12.0,11.0,12.0,10-0006148,22.0,Hyderabad East,30.0,16559.0,CANDID CREAM  1% 30 GM
1372,<3 Months,34377.0,36473.0,37731.0,38988.0,397.0,91.0,98.0,102.0,106.0,10-0006150,4.0,Hyderabad East,406.0,123673.0,JENVAC VACCPFS0.5ML
